Území;Sudety;% dětí;% dětí v neúplných rodinách;% v produktivním věku;% nad 65;Průměrný věk mužů;Průměrný věk žen;% v manželství;% rozvedených;% ovdovělých;% Pavel Petr – 2. kolo;% Babiš Andrej – 2. kolo;% Volební účast v 2. kole;% bez vzdělání;% se základní školou;% s výučním listem;% s maturitou;% vysokoškoláků + VOŠ;% Čechů;% Moravanů + Slezanů;% Slováků;% Poláků;% Němců;% Romů;% Rusů;% Ukrajinců;% Vietnamců;% cizinců;% neuvedená národnost;% zaměstnaných (15-64);% řídící pracovníci;% specialistů;% technických pracovníků;% úředníků;% ve službách a prodeji;% zemědělci, lesníci a rybáři;% řemeslníků;% obsluha strojů / zařízení;% nekvalifikovaných pracovníků;% v ozbrojených silách;% neznámý sektor práce;% zaměstnanců;% zaměstnavatelů;% podnikatelů bez zaměstnanců;% neznámý pracovní poměr;% žen 15+;Plodnost ženy (odhad);% v církvi;% věřících mimo církve
Říčany;0;20.62;20.66;62.93;16.45;39.1;40.6;40.11;10.53;5.02;73.63;26.36;77.9;0.39;10.29;25.07;33.82;25.72;65.9;0.47;1.84;0.1;0.19;0.03;0.48;1.21;0.18;4.02;29.6;83.92;7.07;19.07;15.68;7.39;9.32;0.66;6.83;6.33;2.34;0.11;9.12;59.91;0.98;16.42;6.61;50.86;1.49658533457309;8.58422428745243;8.59199047347848
Sedlčany;0;15.27;25.82;61.38;23.34;42.6;46;40.53;10.03;8.59;63.83;36.16;72.9;0.90;13.89;37.70;30.11;12.90;63.98;0.13;0.45;0.03;0.03;0.04;0.07;0.34;0.12;1.09;34.81;78.52;3.55;11.69;10.30;3.95;12.04;2.37;13.82;8.57;3.84;0.12;8.26;55.79;1.20;15.68;5.86;50.38;1.74204129920413;17.6889174547792;10.0174455972822
Semily;0;16.15;23.35;61.02;22.82;42.3;45.7;38.66;11.78;7.81;61.51;38.48;71.21;0.66;13.51;36.80;30.00;13.21;62.13;0.18;0.95;0.47;0.1;0.23;0.06;0.46;0.16;2.43;35.26;78.62;3.36;10.80;11.05;4.44;10.69;1.23;11.08;12.37;3.91;0.15;9.54;59.51;0.95;11.79;6.36;50.74;1.71068136462986;9.4962807244502;7.95197283311772
Slaný;0;16.99;25.28;63.4;19.61;40.9;43.3;37.76;11.95;6.71;55.75;44.24;68.86;1.08;14.39;33.92;30.02;13.90;62.93;0.34;1.33;0.09;0.11;0.41;0.24;1.25;0.17;3.60;33.13;79.31;3.75;11.75;12.54;5.96;10.81;0.91;9.71;11.09;3.22;0.36;9.20;62.14;0.89;9.93;6.36;50.59;1.53683009595132;5.75156011989583;5.98742076556435
Slavkov u Brna;0;19.21;16.31;63.2;17.60;39.5;41.6;41.57;8.82;6.21;62.28;37.71;73.63;0.33;12.13;34.69;30.20;18.53;51.43;23.78;1.41;0.08;0.05;0.01;0.07;0.26;0.1;1.97;22.81;80.32;4.16;14.33;13.82;5.98;9.25;0.55;11.62;9.51;3.30;0.43;7.38;63.16;0.84;11.17;5.15;50.81;1.59856035437431;20.1330633497252;10.0210752510434
Soběslav;0;15.57;23.93;61.31;23.13;43;45.6;41.04;10.94;7.86;57.23;42.76;71.72;0.53;13.90;37.69;29.97;12.96;63.74;0.23;0.58;0.05;0.05;0.06;0.05;0.32;0.23;1.33;34.69;78.02;3.37;9.64;11.36;4.37;10.04;1.64;12.79;11.55;3.64;0.54;9.08;59.08;0.91;11.48;6.55;50.68;1.6641370338248;11.3621601558875;8.8011505984968
Sokolov;1;15.55;33.45;64.79;19.66;41.4;44.2;33.84;14.36;7.06;44.05;55.94;61.3;1.25;18.77;36.35;26.09;8.66;60.61;0.22;2.17;0.07;1.86;0.65;0.18;0.39;0.59;5.90;33.26;71.41;2.62;8.08;10.04;4.11;10.26;0.46;10.69;12.53;4.39;0.07;8.18;52.39;0.66;6.26;12.11;50.04;1.65262255629183;5.69271065537227;6.45201738742755
Stod;0;16.08;24.23;63.98;19.93;41.4;43.7;37.54;12.46;6.85;51.22;48.77;68.49;1.19;16.40;37.38;28.01;11.10;61.61;0.19;1.26;0.11;0.59;0.1;0.12;0.79;0.37;3.35;34.86;76.99;2.69;9.83;11.85;5.11;9.14;0.60;12.19;13.07;3.57;0.20;8.75;61.88;0.61;7.50;6.99;49.60;1.56422064270698;5.51712642720227;6.86723893657805
Strakonice;0;16.31;26.36;61.8;21.89;42.2;45;39.73;11.53;7.74;53.52;46.47;70.26;0.78;12.79;34.80;31.75;14.84;64.36;0.22;0.72;0.07;0.12;0.22;0.05;0.43;0.23;1.83;33.58;77.88;3.30;11.30;12.09;4.30;9.82;1.31;11.47;11.27;3.67;1.19;8.16;58.38;0.93;10.13;8.44;51.31;1.628203775973;11.5227828607664;9.78802427756137
Stříbro;1;15.87;22.95;65.07;19.06;41.4;43.7;38.16;11.65;6.98;44.72;55.27;67.38;0.98;18.08;37.06;26.82;9.22;58.46;0.24;2.08;0.13;0.31;0.21;0.08;0.71;0.66;4.17;37.12;79.10;2.86;7.49;10.59;6.06;7.96;1.02;12.14;16.82;4.26;0.08;9.80;63.05;0.87;7.02;8.16;49.87;1.67993951612903;5.95094248429193;6.61551474142098
Sušice;1;14.85;26.68;60.95;24.20;43.6;46.6;40.18;11.77;8.42;55.53;44.46;71.9;0.50;14.30;37.03;29.88;13.09;64.38;0.32;0.9;0.03;0.3;0.05;0.06;0.29;0.25;1.89;33.42;76.19;3.50;9.26;9.40;3.99;12.12;2.55;11.32;10.17;4.80;0.23;8.85;52.13;1.30;11.64;11.12;50.88;1.67414721723519;14.2776889503479;10.1162438961151
Světlá nad Sázavou;0;14.93;27.36;62.71;22.36;43.2;45.1;41.07;11.12;7.66;50.54;49.45;73.45;0.57;13.73;38.68;30.77;12.49;63.06;0.4;0.55;0.08;0.05;0.16;0.08;0.24;0.18;1.32;35.2;75.74;3.17;10.47;10.14;4.17;10.48;1.66;11.51;11.95;4.38;0.31;7.48;57.29;0.87;9.94;7.63;52.49;1.74378305389895;15.2798713697116;9.54175459752789
Svitavy;0;15.85;27.66;62.56;21.59;41.9;44.6;38.6;12.33;7.36;49.49;50.5;69.24;0.79;14.29;38.67;29.12;11.86;61.58;3.61;0.72;0.12;0.13;0.18;0.03;0.24;0.2;1.61;33.19;78.23;2.93;10.56;10.83;5.18;10.97;1.15;10.10;13.38;4.33;0.38;8.41;62.79;0.81;8.88;5.75;51.27;1.66031879837535;11.1056007405938;8.23910599748727
Šlapanice;0;19.27;17.67;62.57;18.16;39.6;42;42.84;8.64;5.95;67.62;32.37;76.89;0.34;10.98;28.05;31.88;25.08;54.09;25.45;1.58;0.08;0.08;0.02;0.12;0.62;0.2;2.71;17.76;81.42;5.47;18.48;15.80;6.02;9.01;0.57;8.67;7.35;2.58;0.22;7.25;63.07;0.83;11.55;5.97;50.86;1.54779386770005;20.850606479349;11.149728514998
Šternberk;0;16.12;26.84;62.52;21.36;41.7;44.6;37.25;12.06;7.49;49.19;50.8;67.5;1.05;15.17;34.80;29.02;13.76;56.97;11.32;1.2;0.09;0.13;0.32;0.03;0.22;0.14;2.13;29.58;77.25;3.07;11.86;11.28;4.52;10.70;1.22;11.16;10.33;4.11;0.71;8.30;61.08;0.91;9.17;6.08;50.96;1.68132971778648;10.1824425842455;9.31101094655506
Šumperk;1;15.38;29.22;61.29;23.33;42.6;45.9;38.67;12.27;7.51;50.92;49.07;68.91;0.83;14.41;35.20;29.93;14.26;56.75;13.17;0.98;0.16;0.26;0.18;0.04;0.15;0.19;1.97;28.12;75.45;3.13;11.34;11.46;4.24;10.57;1.16;11.22;10.38;4.01;0.17;7.76;59.00;1.02;9.61;5.82;51.22;1.70609513158355;11.7698739699467;9.08870576829859
Tábor;0;15.74;26.54;62.2;22.06;42.3;45.1;40.3;11.62;7.41;60.6;39.39;72.56;0.39;11.89;32.96;32.73;17.14;65.88;0.38;1.02;0.05;0.07;0.11;0.07;0.63;0.23;2.18;31.56;79.87;3.86;12.69;12.77;4.95;10.43;1.19;10.37;10.20;3.58;1.48;8.37;60.08;1.01;11.19;7.59;51.04;1.60996451803666;11.3415564598169;9.23702950152594
Tachov;1;16.05;25.8;65.6;18.35;40.9;43.1;37.49;11.88;6.48;43.22;56.77;67.54;1.10;15.95;36.73;27.99;9.00;56.47;0.25;2.19;0.17;0.45;0.23;0.16;2.01;1.75;6.95;36.32;78.85;2.66;7.00;9.36;6.22;9.93;1.24;9.94;16.63;4.66;0.11;11.11;58.62;0.80;7.32;12.11;50.07;1.60393595730487;6.4469994391475;7.90241166573191
Tanvald;0;15.67;31.67;61;23.33;42.8;45.7;35.5;14.47;7.21;60.96;39.03;69.56;0.84;16.66;38.53;26.41;9.66;62;0.25;1.69;0.57;0.79;1.36;0.05;0.34;0.38;5.18;32.57;74.74;3.59;8.32;10.02;4.00;12.73;0.48;10.83;11.19;3.55;0.21;9.81;55.79;0.93;11.94;6.08;50.67;1.64140271493213;5.67343408131074;7.07779982699842
Telč;0;15.6;20.76;61.78;22.62;42.4;45.8;41.74;9.08;8.36;62.63;37.36;74.36;0.42;13.35;39.73;28.23;13.58;60.59;4.9;0.58;0.06;0.02;0.12;0.05;0.19;0.1;1.12;33.39;78.29;2.92;10.13;10.22;3.70;9.59;2.88;14.21;11.85;3.54;0.27;8.99;58.54;1.01;12.81;5.94;50.29;1.80447032306536;25.2830489555095;9.28081645670547
Teplice;1;15.82;32.69;63.66;20.52;41.5;44.3;34.87;14;7.22;45.07;54.92;63.6;1.00;16.13;33.24;28.74;12.33;62.75;0.16;1.12;0.08;0.59;0.5;0.59;1.05;0.67;4.59;32.49;74.06;3.39;10.69;11.34;5.15;10.28;0.31;8.59;11.38;4.12;0.10;8.70;56.72;0.85;8.49;8.01;51.36;1.5273491504259;5.1702031254519;6.51216149774894
Tišnov;0;18.46;16.22;61.73;19.82;40.7;42.9;42.4;9.18;6.98;61.01;38.98;74.87;0.34;11.04;32.56;31.93;20.31;54.03;21.58;0.97;0.09;0.1;0.05;0.03;0.29;0.07;1.59;22.79;79.53;4.25;14.92;13.49;5.07;9.78;0.98;11.18;9.13;2.91;0.19;7.62;61.90;0.88;11.08;5.68;50.87;1.6519203090675;24.3433454819656;11.8323488752042
